__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time
run_0,DONE,fasta,py,False,1,69.01,4.252,0.0,1697572754.439629,1697572771.55955,17.1199209690094
run_1,DONE,fasta,py,False,2,50.522,3.978,0.0,1697572772.624813,1697572788.160461,15.535647869110107
run_2,DONE,fasta,py,False,3,48.0,3.941,0.0,1697572789.2272158,1697572805.597651,16.37043523788452
run_3,DONE,fasta,py,False,4,48.778,3.952,0.0,1697572806.6581209,1697572822.0267,15.368579149246216
run_4,DONE,fasta,py,False,5,50.5,4.017,0.0,1697572823.092316,1697572837.812354,14.720038175582886
run_5,DONE,fasta,py,True,1,33.24,3.632,0.0,1697572847.876734,1697572856.313013,8.436279058456421
run_6,DONE,fasta,py,True,2,32.48,3.626,0.0,1697572857.359957,1697572865.52633,8.166373014450073
run_7,DONE,fasta,py,True,3,32.58,3.631,0.0,1697572866.57307,1697572875.270197,8.697126865386963
run_8,DONE,fasta,py,True,4,28.5,3.612,0.0,1697572876.319231,1697572886.182987,9.863755941390991
run_9,DONE,fasta,py,True,5,32.5,3.638,0.0,1697572887.22504,1697572895.7321548,8.507114887237549
run_10,DONE,fasta,js,False,1,17.35,3.615,0.0,1697572905.789186,1697572916.8653,11.076113939285278
run_11,DONE,fasta,js,False,2,16.883,3.622,0.0,1697572917.928986,1697572928.682059,10.75307297706604
run_12,DONE,fasta,js,False,3,18.5,3.624,0.0,1697572929.743941,1697572940.68874,10.944798946380615
run_13,DONE,fasta,js,False,4,18.317,3.619,0.0,1697572941.7494771,1697572952.612446,10.862968921661377
run_14,DONE,fasta,js,False,5,19.6,3.62,0.0,1697572953.6750112,1697572964.5429041,10.867892980575562
run_15,DONE,fasta,js,True,1,33.3,3.59,0.0,1697572974.6122408,1697572977.2263072,2.6140663623809814
run_16,DONE,fasta,js,True,2,32.9,3.577,0.0,1697572978.278634,1697572980.958803,2.680168867111206
run_17,DONE,fasta,js,True,3,33.0,3.596,0.0,1697572982.010219,1697572984.716915,2.706695795059204
run_18,DONE,fasta,js,True,4,32.9,3.584,0.0,1697572985.770945,1697572988.5013812,2.730436086654663
run_19,DONE,fasta,js,True,5,33.0,3.582,0.0,1697572989.5515258,1697572992.126069,2.5745432376861572
