__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time,total_energy(J),monsoon_run_time(ms),average_power(W)
run_0,DONE,fasta,py,False,1,69.1,4.05,0.0,1697574145.187638,1697574162.1976051,17.00996708869934,0.07232864511678598,17.009685039520264,4.252203668012534
run_1,DONE,fasta,py,False,2,49.878,4.015,0.0,1697574163.268539,1697574178.6317902,15.363251209259031,0.06378428005581757,15.352730989456177,4.154588528882765
run_2,DONE,fasta,py,False,3,50.078,4.041,0.0,1697574179.701896,1697574195.1145868,15.412690877914429,0.06360423996765734,15.407543659210205,4.128123299500532
run_3,DONE,fasta,py,False,4,49.378,3.936,0.0,1697574196.179735,1697574211.350303,15.170567989349363,0.061529476630855076,15.176387071609497,4.054290150912031
run_4,DONE,fasta,py,False,5,49.156,3.923,0.0,1697574212.413988,1697574227.909684,15.49569582939148,0.06180609929979301,15.506118059158325,3.9859169821868274
run_5,DONE,fasta,py,True,1,28.667,3.619,0.0,1697574237.974688,1697574247.855113,9.880424976348875,0.03722147310529279,9.872293710708618,3.7702963663771603
run_6,DONE,fasta,py,True,2,32.367,3.639,0.0,1697574248.909166,1697574258.8160288,9.906862735748293,0.03813778873482311,9.8907949924469,3.855887091376074
run_7,DONE,fasta,py,True,3,28.967,3.623,0.0,1697574259.859105,1697574269.7518332,9.892728090286257,0.0373289295983945,9.877655744552612,3.779128425181337
run_8,DONE,fasta,py,True,4,31.417,3.618,0.0,1697574270.8072782,1697574280.603391,9.796112775802612,0.03794165087034268,9.801474332809448,3.8710146639201843
run_9,DONE,fasta,py,True,5,28.917,3.621,0.0,1697574281.655751,1697574291.519146,9.863394975662231,0.03761609607731191,9.862462520599365,3.8140673283923303
run_10,DONE,fasta,js,False,1,17.117,3.608,0.0,1697574301.573157,1697574312.659432,11.086274862289429,0.0407815829570493,11.107701539993286,3.6714690982842115
run_11,DONE,fasta,js,False,2,17.867,3.629,0.0,1697574313.725099,1697574324.5502772,10.825178146362305,0.03937038466456936,10.84239387512207,3.6311524113604574
run_12,DONE,fasta,js,False,3,18.383,3.633,0.0,1697574325.613385,1697574336.366053,10.752668142318726,0.039700759617458566,10.770583391189575,3.6860361389462066
run_13,DONE,fasta,js,False,4,18.233,3.622,0.0,1697574337.431479,1697574348.064922,10.633443117141724,0.03933045429973052,10.641560316085815,3.695929274608206
run_14,DONE,fasta,js,False,5,18.8,3.627,0.0,1697574349.127703,1697574360.177448,11.049745082855225,0.04042061811346963,11.041896343231201,3.6606590803805084
run_15,DONE,fasta,js,True,1,33.0,3.593,0.0,1697574370.248564,1697574372.886476,2.6379120349884033,0.009723123674414602,2.651655912399292,3.6668119830136066
run_16,DONE,fasta,js,True,2,33.7,3.592,0.0,1697574373.939233,1697574376.565718,2.6264848709106445,0.010373352930258288,2.618398666381836,3.9617163969123266
run_17,DONE,fasta,js,True,3,37.0,3.592,0.0,1697574377.618364,1697574380.250028,2.631664276123047,0.01045019907804054,2.6435208320617676,3.953136646890008
run_18,DONE,fasta,js,True,4,34.4,3.594,0.0,1697574381.299881,1697574384.0507,2.750818967819214,0.010132993018568112,2.7559072971343994,3.676826513397032
run_19,DONE,fasta,js,True,5,32.9,3.592,0.0,1697574385.101171,1697574387.821687,2.7205159664154053,0.010049257368095805,2.7188093662261963,3.696197862538825
run_20,DONE,fasta,cpp,False,1,18.24,3.56,0.0,1697574397.8820229,1697574407.5792902,9.697267293930054,0.03459976640898736,9.685312032699585,3.5723956329100712
run_21,DONE,fasta,cpp,False,2,19.0,3.561,0.0,1697574408.644974,1697574418.329672,9.68469786643982,0.03479834813619361,9.678885221481323,3.595284719252806
run_22,DONE,fasta,cpp,False,3,18.62,3.562,0.0,1697574419.388649,1697574429.00382,9.61517095565796,0.035546879889246416,9.616714477539062,3.696364280365214
run_23,DONE,fasta,cpp,False,4,19.46,3.563,0.0,1697574430.0659058,1697574439.28894,9.223034143447876,0.03307973425088297,9.230515956878662,3.5837362077502997
run_24,DONE,fasta,cpp,False,5,18.8,3.576,0.0,1697574440.338498,1697574450.011022,9.672523975372314,0.03667387326528998,9.670960903167725,3.792164360138965
run_25,DONE,fasta,cpp,True,1,30.4,3.547,0.0,1697574460.0806248,1697574472.509562,12.428937196731567,0.04630417753713402,12.426349639892578,3.726289608694312
run_26,DONE,fasta,cpp,True,2,29.743,3.545,0.0,1697574473.5791218,1697574486.020522,12.441400051116943,0.047637907098806845,12.438007593154907,3.8300271761390254
run_27,DONE,fasta,cpp,True,3,28.186,3.549,0.0,1697574487.0913,1697574499.434871,12.343570947647097,0.04633500657406718,12.352136373519897,3.7511734952504763
run_28,DONE,fasta,cpp,True,4,28.686,3.549,0.0,1697574500.505722,1697574512.980185,12.474462985992432,0.047755086844233824,12.453539371490479,3.8346598039074853
run_29,DONE,fasta,cpp,True,5,31.4,3.542,0.0,1697574514.047426,1697574526.521624,12.47419810295105,0.04634336619565843,12.471870183944702,3.7158313478372484
run_30,DONE,knucleotide,py,False,1,40.25,3.567,0.0,1697574536.591636,1697574540.7118149,4.120178937911987,0.015236680810042107,4.12520432472229,3.6935578484510203
run_31,DONE,knucleotide,py,False,2,23.4,3.574,0.0,1697574541.765821,1697574545.932459,4.166638135910034,0.01590181842187119,4.180377006530762,3.803919693613446
run_32,DONE,knucleotide,py,False,3,39.85,3.572,0.0,1697574546.986013,1697574551.006112,4.02009916305542,0.015333263820336649,4.036396026611328,3.798751093610943
run_33,DONE,knucleotide,py,False,4,38.55,3.569,0.0,1697574552.062262,1697574556.164532,4.102269887924194,0.015815042238707312,4.105212450027466,3.852429668676831
run_34,DONE,knucleotide,py,False,5,28.15,3.564,0.0,1697574557.2124648,1697574561.3688169,4.1563520431518555,0.015604441928637105,4.146360874176025,3.763406611764842
run_35,DONE,knucleotide,py,True,1,34.5,3.615,0.0,1697574571.425157,1697574574.197284,2.7721269130706787,0.010213929806893816,2.777831554412842,3.6769435463673257
run_36,DONE,knucleotide,py,True,2,32.5,3.584,0.0,1697574575.254459,1697574577.895164,2.640705108642578,0.010334664072945188,2.6417973041534424,3.911982216310462
run_37,DONE,knucleotide,py,True,3,34.8,3.586,0.0,1697574578.9459891,1697574581.568324,2.6223349571228027,0.010518463792630755,2.615056037902832,4.022270895986662
run_38,DONE,knucleotide,py,True,4,33.0,3.592,0.0,1697574582.62339,1697574585.375193,2.751803159713745,0.010197429131687235,2.7434377670288086,3.7170258623111505
run_39,DONE,knucleotide,py,True,5,33.0,3.592,0.0,1697574586.431127,1697574589.054678,2.6235508918762207,0.010221094937024054,2.619222402572632,3.9023394603622705
run_40,DONE,knucleotide,js,False,1,33.7,3.592,0.0,1697574599.111714,1697574601.836315,2.7246007919311523,0.009912554403361779,2.730755567550659,3.629967662119538
run_41,DONE,knucleotide,js,False,2,32.2,3.602,0.0,1697574602.897015,1697574605.545362,2.6483469009399414,0.01065738682547211,2.646108388900757,4.027570023274591
run_42,DONE,knucleotide,js,False,3,33.3,3.603,0.0,1697574606.609472,1697574609.239697,2.6302249431610107,0.010774630253283866,2.6456310749053955,4.0726125254138665
run_43,DONE,knucleotide,js,False,4,33.7,3.605,0.0,1697574610.288318,1697574613.012084,2.7237660884857178,0.010195543986842559,2.7257328033447266,3.740478147502823
run_44,DONE,knucleotide,js,False,5,33.7,3.597,0.0,1697574614.065954,1697574616.706465,2.6405110359191895,0.010422454561730089,2.63419508934021,3.9565993437261375
run_45,DONE,knucleotide,js,True,1,31.8,3.597,0.0,1697574626.7667682,1697574629.4946089,2.7278406620025635,0.010011737985344007,2.7409465312957764,3.6526571646076516
run_46,DONE,knucleotide,js,True,2,33.0,3.601,0.0,1697574630.5529652,1697574633.1825762,2.629611015319824,0.010227975964825319,2.6429929733276367,3.8698460677131035
run_47,DONE,knucleotide,js,True,3,32.9,3.602,0.0,1697574634.237437,1697574636.86523,2.627793073654175,0.010397148317469372,2.6277310848236084,3.956701801610457
run_48,DONE,knucleotide,js,True,4,38.2,3.587,0.0,1697574637.920505,1697574640.637034,2.71652889251709,0.010040612378517761,2.711458683013916,3.7030298272357007
run_49,DONE,knucleotide,js,True,5,32.9,3.596,0.0,1697574641.695362,1697574644.444322,2.748960018157959,0.010935003258396104,2.763150215148926,3.957440749491333
